uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,sampleCode,subsampleID,subsampleCode,sampleCondition,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,nativeStatusCode,identifiedBy,recordedBy,remarks,identificationHistoryID,publicationDate,release
b46b498b-4de2-4c38-ac12-db71533662a1,JERC_010.basePlot.bet,D03,JERC,JERC_010,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_010.S.20210622,A00000130141,qRTVq00V1Umo3rC+J2BfU4jbodepHY8vR3gm5WpS4xQ=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
e3c2eed4-83c5-4d60-82d0-0cc003acfb97,JERC_002.basePlot.bet,D03,JERC,JERC_002,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_002.S.20210622,A00000130120,CV0ws5GtbhkissJ1kbHcpbwzYwUe+LaIBHvXy3gxKA0=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
6c3bc460-63b2-4f12-a356-71fabcfae42c,JERC_010.basePlot.bet,D03,JERC,JERC_010,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_010.W.20210622,A00000130143,qRTVq00V1Ul85PDeVi5q3RCD8Xb2vZkEwAXB7osbyEs=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
ad228c8f-1523-4e0d-869b-4b5a42fb3a4d,JERC_002.basePlot.bet,D03,JERC,JERC_002,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_002.E.20210622,A00000130121,CV0ws5GtbhmuM2I7gGj672GlIcOnOYjQN+qKcnLAzMk=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
188ab289-e45f-474a-a338-64f34c12cc8b,JERC_002.basePlot.bet,D03,JERC,JERC_002,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_002.W.20210622,A00000130122,CV0ws5GtbhkuX9x/5L+cLii8FYOVxFrF6DpgMUuWsZ0=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
eec7b07f-dcf4-440b-9cc7-9c63297590f6,JERC_007.basePlot.bet,D03,JERC,JERC_007,E,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_007.E.20210622,A00000130135,a/HTBHkllcMAhJf2CzTb195EozZcYuKMvVzfIPvufyA=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-3174-4606,NA,NA,20240112T182015Z,RELEASE-2024
6ee06106-0ee9-4afb-8128-51ac87881a05,JERC_005.basePlot.bet,D03,JERC,JERC_005,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_005.S.20210622,A00000130126,Va9a3mr00GvwhLnB3gkja7CYRfku5ehqjMwwh6hiGQg=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0003-0743-8788,NA,NA,20240112T182015Z,RELEASE-2024
13129a26-2de7-44e3-93f2-17f230acc845,JERC_030.basePlot.bet,D03,JERC,JERC_030,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-05T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_030.W.20210622,A00000130146,AuAZEkdfggI8pFd208kjEqvWzXdWNPsDcBAJ20HFQzk=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-4028-6977,0000-0002-4028-6977,NA,NA,20240112T182015Z,RELEASE-2024
44575f29-7cfc-4ec8-bc4c-b329992e6512,JERC_006.basePlot.bet,D03,JERC,JERC_006,W,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-02T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_006.W.20210622,A00000130133,zWSiOx/FgAXJNvACf1JoYOuPuXVal77f25e0/n6X2ZU=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5871-8742,NA,NA,20240112T182015Z,RELEASE-2024
0e368125-24f7-467f-bb8c-e243685709d7,JERC_006.basePlot.bet,D03,JERC,JERC_006,S,2021-06-08T00:00:00Z,2021-06-22T00:00:00Z,2021-07-02T00:00:00Z,2021-06-23T00:00:00Z,NA,JERC_006.S.20210622,A00000130131,zWSiOx/FgAUKBBI5jUr/K3dFblz13bPWnV0eQ8F9cV8=,NA,NA,invert bycatch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5871-8742,NA,NA,20240112T182015Z,RELEASE-2024
